rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,group_mix,controls
1520440540384425290,,240,,1520440540,387913385,'',0,"[-0.010149077512323856, -0.019315747544169426, 0.09088227897882462, 0.5939068794250488, 0.0, 0.0, 0.0, -1.0]"
1520440540484316416,,241,,1520440540,479170832,'',0,"[-0.011064404621720314, -0.01972842775285244, 0.09179876744747162, 0.5938622355461121, 0.0, 0.0, 0.0, -1.0]"
1520440540607956446,,242,,1520440540,575164832,'',0,"[-0.003851858666166663, -0.015010030940175056, 0.09241215884685516, 0.6012747883796692, 0.0, 0.0, 0.0, -1.0]"
1520440540701667120,,243,,1520440540,676169432,'',0,"[-0.004325482062995434, -0.014746627770364285, 0.09326163679361343, 0.6026341915130615, 0.0, 0.0, 0.0, -1.0]"
1520440540802925185,,244,,1520440540,785141096,'',0,"[-0.004364090971648693, -0.015125913545489311, 0.09406230598688126, 0.6037212014198303, 0.0, 0.0, 0.0, -1.0]"
1520440540892018375,,245,,1520440540,882084432,'',0,"[-0.004683040548115969, -0.01509071234613657, 0.09443754702806473, 0.6046438217163086, 0.0, 0.0, 0.0, -1.0]"
1520440540994125072,,246,,1520440540,979578776,'',0,"[-0.004654204472899437, -0.015471341088414192, 0.09440451115369797, 0.6055834889411926, 0.0, 0.0, 0.0, -1.0]"
1520440541092790998,,247,,1520440541,82142248,'',0,"[-0.005076165311038494, -0.015261437743902206, 0.09454789012670517, 0.6064872145652771, 0.0, 0.0, 0.0, -1.0]"
1520440541182237462,,248,,1520440541,175068248,'',0,"[-0.0052380613051354885, -0.015244274400174618, 0.09445185214281082, 0.607255220413208, 0.0, 0.0, 0.0, -1.0]"
1520440541281839031,,249,,1520440541,275878688,'',0,"[-0.005391434300690889, -0.015345961786806583, 0.09457875788211823, 0.607837975025177, 0.0, 0.0, 0.0, -1.0]"
1520440541401359326,,250,,1520440541,385399104,'',0,"[-0.00496805552393198, -0.01506404671818018, 0.09464868903160095, 0.6089471578598022, 0.0, 0.0, 0.0, -1.0]"
1520440541492303627,,251,,1520440541,481341104,'',0,"[-0.005477315280586481, -0.015127943828701973, 0.09455538541078568, 0.6094598770141602, 0.0, 0.0, 0.0, -1.0]"
1520440541592703180,,252,,1520440541,585574320,'',0,"[-0.004808872006833553, -0.01467440277338028, 0.09453421086072922, 0.6103675961494446, 0.0, 0.0, 0.0, -1.0]"
1520440541696281289,,253,,1520440541,684812296,'',0,"[-0.00485425116494298, -0.01464620791375637, 0.09449165314435959, 0.6111905574798584, 0.0, 0.0, 0.0, -1.0]"
1520440541806814389,,254,,1520440541,789154080,'',0,"[-0.0047951964661479, -0.015040063299238682, 0.09457576274871826, 0.6119111776351929, 0.0, 0.0, 0.0, -1.0]"
1520440541901680521,,255,,1520440541,889105624,'',0,"[-0.005094484426081181, -0.014939766377210617, 0.09440528601408005, 0.6129035949707031, 0.0, 0.0, 0.0, -1.0]"
1520440542001268420,,256,,1520440541,987706176,'',0,"[-0.0051860627718269825, -0.01438047830015421, 0.09454293549060822, 0.6138813495635986, 0.0, 0.0, 0.0, -1.0]"
1520440542106017732,,257,,1520440542,90007616,'',0,"[-0.005279335658997297, -0.014930546283721924, 0.09452518075704575, 0.6146722435951233, 0.0, 0.0, 0.0, -1.0]"
1520440542202011651,,258,,1520440542,190452264,'',0,"[-0.005115156061947346, -0.014322061091661453, 0.09450296312570572, 0.6154716610908508, 0.0, 0.0, 0.0, -1.0]"
1520440542296349493,,259,,1520440542,290419264,'',0,"[-0.005186067894101143, -0.01459407340735197, 0.09448245912790298, 0.6159467101097107, 0.0, 0.0, 0.0, -1.0]"
1520440542401093409,,260,,1520440542,388506572,'',0,"[-0.005092025734484196, -0.014569733291864395, 0.09445679187774658, 0.6168020367622375, 0.0, 0.0, 0.0, -1.0]"
1520440542504928326,,261,,1520440542,488430352,'',0,"[-0.005383736453950405, -0.01380412932485342, 0.09450805187225342, 0.6174681782722473, 0.0, 0.0, 0.0, -1.0]"
1520440542592930444,,262,,1520440542,585632848,'',0,"[-0.005432435777038336, -0.013994764536619186, 0.09448926150798798, 0.617874264717102, 0.0, 0.0, 0.0, -1.0]"
1520440542707849789,,263,,1520440542,688107856,'',0,"[-0.005170601885765791, -0.014440789818763733, 0.0945620909333229, 0.618898868560791, 0.0, 0.0, 0.0, -1.0]"
1520440542801648455,,264,,1520440542,788681024,'',0,"[-0.0007502015796490014, -0.011758173815906048, 0.09900588542222977, 0.40248945355415344, 0.0, 0.0, 0.0, -1.0]"
1520440542892864673,,265,,1520440542,888662024,'',0,"[-0.005120518617331982, -0.011522962711751461, 0.10198831558227539, 0.4210350215435028, 0.0, 0.0, 0.0, -1.0]"
1520440542993129710,,266,,1520440542,973996004,'',0,"[-0.002142051700502634, -0.013130784966051579, 0.10237756371498108, 0.4409838616847992, 0.0, 0.0, 0.0, -1.0]"
1520440543100847668,,267,,1520440543,88152426,'',0,"[-0.0007854952709749341, -0.01170305721461773, 0.11002659797668457, 0.4616198241710663, 0.0, 0.0, 0.0, -1.0]"
1520440543223814865,,268,,1520440543,184148426,'',0,"[-0.003086806507781148, -0.011722137220203876, 0.11141201853752136, 0.4819384217262268, 0.0, 0.0, 0.0, -1.0]"
1520440543306987131,,269,,1520440543,289280553,'',0,"[-0.0008863506955094635, -0.01238350197672844, 0.11586180329322815, 0.5037292838096619, 0.0, 0.0, 0.0, -1.0]"
1520440543392631816,,270,,1520440543,389286553,'',0,"[-0.0022843473125249147, -0.011640744283795357, 0.12006454914808273, 0.5234563946723938, 0.0, 0.0, 0.0, -1.0]"
1520440543501286049,,271,,1520440543,487293192,'',0,"[-0.0037872593384236097, -0.01276274025440216, 0.12452010065317154, 0.5451508164405823, 0.0, 0.0, 0.0, -1.0]"
1520440543610223073,,272,,1520440543,591828048,'',0,"[-0.0026484716217964888, -0.012741448357701302, 0.1279146373271942, 0.5664493441581726, 0.0, 0.0, 0.0, -1.0]"
1520440543692924845,,273,,1520440543,683844048,'',0,"[-0.0020468877628445625, -0.012124300934374332, 0.13063621520996094, 0.5779569745063782, 0.0, 0.0, 0.0, -1.0]"
1520440543802135703,,274,,1520440543,782206336,'',0,"[-0.004478124901652336, -0.01276313979178667, 0.13582104444503784, 0.5763773322105408, 0.0, 0.0, 0.0, -1.0]"
1520440543904148221,,275,,1520440543,886069672,'',0,"[-0.0014348449185490608, -0.012278950773179531, 0.13925889134407043, 0.5745572447776794, 0.0, 0.0, 0.0, -1.0]"
