rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vtol_state,landed_state
1520440560951264282,,221,,1520440560,950881109,'',0,2
1520440561152632168,,222,,1520440561,151737552,'',0,2
1520440561351375894,,223,,1520440561,350402765,'',0,2
1520440561550551666,,224,,1520440561,550228605,'',0,2
1520440561778054499,,225,,1520440561,776457141,'',0,2
1520440561953404183,,226,,1520440561,953022377,'',0,2
1520440562146399140,,227,,1520440562,145251627,'',0,2
1520440562356346978,,228,,1520440562,355461883,'',0,2
1520440562550126202,,229,,1520440562,549769670,'',0,2
1520440562750460612,,230,,1520440562,750108427,'',0,2
1520440562952702539,,231,,1520440562,951937773,'',0,2
1520440563154081861,,232,,1520440563,153560431,'',0,2
1520440563355012614,,233,,1520440563,354326959,'',0,2
1520440563552765077,,234,,1520440563,552217229,'',0,2
1520440563752167638,,235,,1520440563,751700157,'',0,2
1520440563953113079,,236,,1520440563,952619248,'',0,2
1520440564166393619,,237,,1520440564,165480658,'',0,2
1520440564354805732,,238,,1520440564,354481700,'',0,2
1520440564589084374,,239,,1520440564,587654375,'',0,2
1520440564756788716,,240,,1520440564,756496589,'',0,2
1520440564970949599,,241,,1520440564,970315260,'',0,2
1520440565151092468,,242,,1520440565,150672019,'',0,2
1520440565362593371,,243,,1520440565,361961009,'',0,2
1520440565551464090,,244,,1520440565,551066401,'',0,2
1520440565751221818,,245,,1520440565,750208138,'',0,2
1520440565977745499,,246,,1520440565,977011088,'',0,2
1520440566191150807,,247,,1520440566,190321744,'',0,2
1520440566365608289,,248,,1520440566,365081470,'',0,2
1520440566577547729,,249,,1520440566,576432273,'',0,2
1520440566752678586,,250,,1520440566,752271799,'',0,2
1520440566962236906,,251,,1520440566,961785598,'',0,2
1520440567163459796,,252,,1520440567,162985722,'',0,2
1520440567395229092,,253,,1520440567,394551608,'',0,2
1520440567577244213,,254,,1520440567,576707513,'',0,2
1520440567777121154,,255,,1520440567,775558299,'',0,2
1520440567991920012,,256,,1520440567,989505659,'',0,2
1520440568163422365,,257,,1520440568,162562519,'',0,2
1520440568358787772,,258,,1520440568,358509215,'',0,2
1520440568588246986,,259,,1520440568,587644480,'',0,2
1520440568775465656,,260,,1520440568,774850646,'',0,2
1520440568978966553,,261,,1520440568,978651930,'',0,2
1520440569198010549,,262,,1520440569,197031084,'',0,2
1520440569372379716,,263,,1520440569,372051714,'',0,2
1520440569562371299,,264,,1520440569,561580163,'',0,2
1520440569793390910,,265,,1520440569,792419947,'',0,2
1520440569977756220,,266,,1520440569,977104463,'',0,2
1520440570191738938,,267,,1520440570,191152313,'',0,2
1520440570362332040,,268,,1520440570,361990219,'',0,2
1520440570578013946,,269,,1520440570,576302858,'',0,2
1520440570762430517,,270,,1520440570,761834765,'',0,2
1520440570973318423,,271,,1520440570,972323826,'',0,2
1520440571162515761,,272,,1520440571,161867961,'',0,2
1520440571365626001,,273,,1520440571,365068930,'',0,2
1520440571592600571,,274,,1520440571,591515824,'',0,2
1520440571762484131,,275,,1520440571,762006681,'',0,2
1520440571957946281,,276,,1520440571,956986662,'',0,2
1520440572157549725,,277,,1520440572,156825195,'',0,2
1520440572361813433,,278,,1520440572,361401450,'',0,2
1520440572558221431,,279,,1520440572,557539050,'',0,2
1520440572787380251,,280,,1520440572,786241037,'',0,2
1520440572962389762,,281,,1520440572,961564973,'',0,2
1520440573177801642,,282,,1520440573,177234651,'',0,2
1520440573393922408,,283,,1520440573,393423328,'',0,2
1520440573581322932,,284,,1520440573,580037382,'',0,2
1520440573759721346,,285,,1520440573,759290642,'',0,2
1520440573975061388,,286,,1520440573,974185066,'',0,2
1520440574162323685,,287,,1520440574,162005244,'',0,2
1520440574371961835,,288,,1520440574,371573590,'',0,2
1520440574573729917,,289,,1520440574,572432395,'',0,2
1520440574776394210,,290,,1520440574,773998781,'',0,2
1520440574963642953,,291,,1520440574,963336495,'',0,2
1520440575194210686,,292,,1520440575,193238149,'',0,2
1520440575372005920,,293,,1520440575,371569804,'',0,2
1520440575572506261,,294,,1520440575,571861154,'',0,2
1520440575795113196,,295,,1520440575,794090252,'',0,2
1520440575971950098,,296,,1520440575,971287683,'',0,2
1520440576172742310,,297,,1520440576,172071536,'',0,2
1520440576394143639,,298,,1520440576,393249432,'',0,2
1520440576572443352,,299,,1520440576,571927078,'',0,2
1520440576773002353,,300,,1520440576,772114280,'',0,2
1520440576962606128,,301,,1520440576,962373986,'',0,2
1520440577177368413,,302,,1520440577,176721299,'',0,2
1520440577381428162,,303,,1520440577,380696471,'',0,2
1520440577572912055,,304,,1520440577,572340469,'',0,2
1520440577776899261,,305,,1520440577,776160924,'',0,2
1520440577968620458,,306,,1520440577,968044455,'',0,2
1520440578171218705,,307,,1520440578,170889232,'',0,2
1520440578378310575,,308,,1520440578,377258658,'',0,2
1520440578574437945,,309,,1520440578,573991608,'',0,2
1520440578787798496,,310,,1520440578,787325521,'',0,2
1520440578982424768,,311,,1520440578,982019686,'',0,2
1520440579176914843,,312,,1520440579,176145778,'',0,2
1520440579373666077,,313,,1520440579,373186107,'',0,2
1520440579583888227,,314,,1520440579,582978847,'',0,2
1520440579777122349,,315,,1520440579,776149521,'',0,4
1520440579976588565,,316,,1520440579,976251716,'',0,4
1520440580182425916,,317,,1520440580,181788780,'',0,4
1520440580372173123,,318,,1520440580,371887986,'',0,4
1520440580576839842,,319,,1520440580,576442687,'',0,4
1520440580780388718,,320,,1520440580,779930451,'',0,4
1520440580976409059,,321,,1520440580,976086438,'',0,4
1520440581177216374,,322,,1520440581,176653611,'',0,4
1520440581373473166,,323,,1520440581,372785490,'',0,4
1520440581575555324,,324,,1520440581,575090997,'',0,4
1520440581778931346,,325,,1520440581,778536201,'',0,4
1520440581987143013,,326,,1520440581,985601278,'',0,4
1520440582174806909,,327,,1520440582,174359482,'',0,2
1520440582376707512,,328,,1520440582,376157426,'',0,2
1520440582575351404,,329,,1520440582,574464463,'',0,2
1520440582773259210,,330,,1520440582,772912499,'',0,2
1520440582976226857,,331,,1520440582,975869839,'',0,2
1520440583195913094,,332,,1520440583,193379208,'',0,2
1520440583382039006,,333,,1520440583,381554752,'',0,2
1520440583577315667,,334,,1520440583,576600695,'',0,2
1520440583769803900,,335,,1520440583,769414720,'',0,2
1520440583975920345,,336,,1520440583,975467571,'',0,2
1520440584177551725,,337,,1520440584,177206843,'',0,2
1520440584375890451,,338,,1520440584,375357516,'',0,2
1520440584575357088,,339,,1520440584,574139830,'',0,2
1520440584774207947,,340,,1520440584,773836623,'',0,2
1520440584972285184,,341,,1520440584,971992780,'',0,1
1520440585222920505,,342,,1520440585,220708230,'',0,1
1520440585379284773,,343,,1520440585,378723927,'',0,1
1520440585576414980,,344,,1520440585,575412121,'',0,1
1520440585777047515,,345,,1520440585,776346843,'',0,1
1520440585978381275,,346,,1520440585,977590656,'',0,1
1520440586188771829,,347,,1520440586,188135162,'',0,1
1520440586375550743,,348,,1520440586,374405451,'',0,1
1520440586573378463,,349,,1520440586,572964209,'',0,1
1520440586785953092,,350,,1520440586,784849945,'',0,1
1520440586974492171,,351,,1520440586,974269936,'',0,1
1520440587171867915,,352,,1520440587,171568003,'',0,1
