rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,channels
1520440559465251203,,430,,1520440559,452852960,'',"[1565, 1619, 1553, 1564, 0, 0, 0, 0]"
1520440559570735973,,431,,1520440559,545266784,'',"[1560, 1611, 1541, 1564, 0, 0, 0, 0]"
1520440559679290095,,432,,1520440559,648322576,'',"[1574, 1607, 1536, 1582, 0, 0, 0, 0]"
1520440559773956763,,433,,1520440559,756493048,'',"[1559, 1617, 1535, 1576, 0, 0, 0, 0]"
1520440559876918893,,434,,1520440559,857034056,'',"[1578, 1609, 1555, 1566, 0, 0, 0, 0]"
1520440559951514768,,435,,1520440559,958517248,'',"[1561, 1625, 1548, 1567, 0, 0, 0, 0]"
1520440560058371811,,436,,1520440560,49910184,'',"[1553, 1626, 1546, 1569, 0, 0, 0, 0]"
1520440560180991629,,437,,1520440560,151592592,'',"[1578, 1604, 1539, 1579, 0, 0, 0, 0]"
1520440560269796799,,438,,1520440560,246716888,'',"[1556, 1622, 1531, 1590, 0, 0, 0, 0]"
1520440560383067321,,439,,1520440560,347803888,'',"[1553, 1623, 1535, 1581, 0, 0, 0, 0]"
1520440560453579864,,440,,1520440560,451437784,'',"[1584, 1596, 1540, 1578, 0, 0, 0, 0]"
1520440560565868902,,441,,1520440560,545672904,'',"[1553, 1614, 1544, 1567, 0, 0, 0, 0]"
1520440560676475365,,442,,1520440560,646399256,'',"[1550, 1614, 1530, 1575, 0, 0, 0, 0]"
1520440560757678783,,443,,1520440560,751998360,'',"[1560, 1605, 1530, 1572, 0, 0, 0, 0]"
1520440560897815123,,444,,1520440560,851600656,'',"[1566, 1608, 1554, 1560, 0, 0, 0, 0]"
1520440560961743946,,445,,1520440560,941838680,'',"[1554, 1631, 1535, 1589, 0, 0, 0, 0]"
1520440561094938297,,446,,1520440561,47103328,'',"[1560, 1629, 1546, 1575, 0, 0, 0, 0]"
1520440561174473359,,447,,1520440561,149297728,'',"[1551, 1629, 1515, 1600, 0, 0, 0, 0]"
1520440561291744721,,448,,1520440561,254365192,'',"[1566, 1616, 1530, 1582, 0, 0, 0, 0]"
1520440561377252427,,449,,1520440561,345095332,'',"[1566, 1615, 1553, 1556, 0, 0, 0, 0]"
1520440561477474362,,450,,1520440561,461653212,'',"[1560, 1622, 1539, 1569, 0, 0, 0, 0]"
1520440561593798031,,451,,1520440561,564532072,'',"[1542, 1638, 1526, 1579, 0, 0, 0, 0]"
