rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1520440531699009790,,81,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531749154599,,82,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531798989561,,83,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531849016595,,84,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531899054214,,85,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531949059276,,86,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440531999075176,,87,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532049191362,,88,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532099199524,,89,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532149077809,,90,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532199205487,,91,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532249153456,,92,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532299010931,,93,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532349292794,,94,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532399042524,,95,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532449169625,,96,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532499254565,,97,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532548992634,,98,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532599246213,,99,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532648828033,,100,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532699028946,,101,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532749130828,,102,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532799151050,,103,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532849064019,,104,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532898996669,,105,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532949053351,,106,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440532999223354,,107,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533048833725,,108,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533099082905,,109,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533149038342,,110,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533199018884,,111,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533249078695,,112,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533299240571,,113,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533349069534,,114,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533399107595,,115,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533449031956,,116,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533499137161,,117,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533549061208,,118,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533599124371,,119,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533649231448,,120,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533699069855,,121,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533749303034,,122,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533799105379,,123,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533849032909,,124,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
1520440533899015554,,125,,0,0,'',,,0.0,0.0,0.5,,0.0,0.0,0.0,0.0
