rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1520440542752144628,,1,,1520440542,751531207,'',2,"""/offb_node""","""Vehicle armed""","""/home/mathias/catkin_ws/src/drone_mocap/src/offb_node.cpp""","""main""",89,"[/rosout, /mavros/setpoint_position/local]"
1520440542753172035,,126,,1520440542,751377502,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440542800890203,,127,,1520440542,800464634,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440542876098872,,128,,1520440542,875591767,'',4,"""/mavros""","""PR","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/param.cpp""","""std_plugins",617,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440543381492192,,129,,1520440543,380903101,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440545049265323,,130,,1520440545,47707556,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440545739820351,,131,,1520440545,739281077,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440546487591893,,132,,1520440546,486833460,'',4,"""/mavros""","""GP","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/global_position.cpp""","""std_plugins",162,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440546657363470,,133,,1520440546,656924822,'',2,"""/mavros""","""HP","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/home_position.cpp""","""std_plugins",165,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440546943154706,,134,,1520440546,942583346,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440550410016320,,135,,1520440550,408709482,'',4,"""/mavros""","""TM","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_time.cpp""","""std_plugins",304,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440551612502133,,136,,1520440551,612136887,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440553062351815,,137,,1520440553,61592589,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440556656722348,,138,,1520440556,656384253,'',2,"""/mavros""","""HP","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/home_position.cpp""","""std_plugins",165,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440556954227023,,139,,1520440556,953960441,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440558457519810,,140,,1520440558,456992491,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440561301346315,,141,,1520440561,300913031,'',4,"""/mavros""","""TM","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_time.cpp""","""std_plugins",304,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440561594812700,,142,,1520440561,592439596,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440562777356621,,143,,1520440562,776142256,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440563193014934,,144,,1520440563,192085553,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440563961920797,,145,,1520440563,961560419,'',2,"""/mavros""","""FCU","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/sys_status.cpp""","""std_plugins",549,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
1520440566656798893,,146,,1520440566,656368332,'',2,"""/mavros""","""HP","""/tmp/binarydeb/ros-kinetic-mavros-0.23.0/src/plugins/home_position.cpp""","""std_plugins",165,"[/rosout, /diagnostics, /tf, /tf_static, /mavlink/from, /mavros/radio_status, /mavros/target_actuator_control,"
